Zeit (s) Messreihe_Kern1_5_100_R;Spannung, Ch A (V) Messreihe_Kern1_5_100_R;Spannung, Ch B (V) Messreihe_Kern1_5_100_R;Zeit (s) Messreihe_Kern1_6_100_R;Spannung, Ch A (V) Messreihe_Kern1_6_100_R;Spannung, Ch B (V) Messreihe_Kern1_6_100_R;Zeit (s) Messreihe_Kern1_7_100_R_80;Spannung, Ch A (V) Messreihe_Kern1_7_100_R_80;Spannung, Ch B (V) Messreihe_Kern1_7_100_R_80;Zeit (s) Messreihe_Kern2_8_100_R;Spannung, Ch A (V) Messreihe_Kern2_8_100_R;Spannung, Ch B (V) Messreihe_Kern2_8_100_R;Zeit (s) Messreihe_Kern3_9_100;Spannung, Ch A (V) Messreihe_Kern3_9_100;Spannung, Ch B (V) Messreihe_Kern3_9_100;Zeit (s) Messreihe_Kern3_10_100;Spannung, Ch A (V) Messreihe_Kern3_10_100;Spannung, Ch B (V) Messreihe_Kern3_10_100;Zeit (s) Messreihe_Kern3_11_100;Spannung, Ch A (V) Messreihe_Kern3_11_100;Spannung, Ch B (V) Messreihe_Kern3_11_100;Zeit (s) Messreihe_Kern3_12_100_schleife_Muell;Spannung, Ch A (V) Messreihe_Kern3_12_100_schleife_Muell;Spannung, Ch B (V) Messreihe_Kern3_12_100_schleife_Muell;Zeit (s) Messreihe_Kern3_13_100_schleife;Spannung, Ch A (V) Messreihe_Kern3_13_100_schleife;Spannung, Ch B (V) Messreihe_Kern3_13_100_schleife;Zeit (s) Messreihe_Kern3_14_100_spirale_Muell;Spannung, Ch A (V) Messreihe_Kern3_14_100_spirale_Muell;Spannung, Ch B (V) Messreihe_Kern3_14_100_spirale_Muell;Zeit (s) Messreihe_Kern3_15_100_spirale;Spannung, Ch A (V) Messreihe_Kern3_15_100_spirale;Spannung, Ch B (V) Messreihe_Kern3_15_100_spirale;Zeit (s) Messreihe_Kern4_16_100_R_Muell;Spannung, Ch A (V) Messreihe_Kern4_16_100_R_Muell;Spannung, Ch B (V) Messreihe_Kern4_16_100_R_Muell;Zeit (s) Messreihe_Kern4_17_2_R;Spannung, Ch A (V) Messreihe_Kern4_17_2_R;Spannung, Ch B (V) Messreihe_Kern4_17_2_R;Zeit (s) Messreihe_Kern4_18_2_R;Spannung, Ch A (V) Messreihe_Kern4_18_2_R;Spannung, Ch B (V) Messreihe_Kern4_18_2_R
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,050;0,028;0,447;141,050;-0,031;0,527;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,075;0,029;0,447;141,075;-0,032;0,527;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,100;0,029;0,447;141,100;-0,032;0,529;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,125;0,029;0,446;141,125;-0,033;0,530;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,150;0,029;0,445;141,150;-0,033;0,530;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,175;0,029;0,444;141,175;-0,032;0,531;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,200;0,029;0,445;141,200;-0,033;0,532;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,225;0,030;0,444;141,225;-0,033;0,533;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,250;0,030;0,442;141,250;-0,034;0,532;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,275;0,031;0,443;141,275;-0,033;0,533;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,300;0,030;0,443;141,300;-0,034;0,535;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,325;0,031;0,442;141,325;-0,034;0,536;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,350;0,031;0,440;141,350;-0,034;0,535;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,375;0,031;0,440;141,375;-0,034;0,535;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,400;0,031;0,441;141,400;-0,035;0,536;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,425;0,031;0,440;141,425;-0,035;0,538;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,450;0,031;0,438;141,450;-0,035;0,537;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,475;0,031;0,438;141,475;-0,035;0,537;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,500;0,031;0,439;141,500;-0,035;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,525;0,032;0,438;141,525;-0,035;0,540;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,550;0,032;0,436;141,550;-0,035;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,575;0,032;0,436;141,575;-0,035;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,600;0,032;0,437;141,600;-0,035;0,540;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,625;0,032;0,437;141,625;-0,036;0,541;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,650;0,032;0,435;141,650;-0,035;0,540;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,675;0,032;0,435;141,675;-0,035;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,700;0,032;0,436;141,700;-0,036;0,541;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,725;0,032;0,435;141,725;-0,036;0,542;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,750;0,033;0,433;141,750;-0,036;0,541;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,775;0,033;0,433;141,775;-0,036;0,540;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,800;0,034;0,435;141,800;-0,035;0,541;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,825;0,033;0,434;141,825;-0,036;0,542;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,850;0,033;0,432;141,850;-0,036;0,541;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,875;0,033;0,432;141,875;-0,035;0,541;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,900;0,033;0,433;141,900;-0,035;0,541;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,925;0,033;0,433;141,925;-0,034;0,542;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,950;0,034;0,432;141,950;-0,034;0,541;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;141,975;0,033;0,431;141,975;-0,033;0,540;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,000;0,033;0,432;142,000;-0,033;0,541;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,025;0,034;0,432;142,025;-0,032;0,541;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,050;0,034;0,431;142,050;-0,032;0,540;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,075;0,033;0,431;142,075;-0,031;0,540;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,100;0,033;0,432;142,100;-0,031;0,540;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,125;0,034;0,432;142,125;-0,031;0,541;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,150;0,034;0,430;142,150;-0,030;0,540;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,175;0,033;0,430;142,175;-0,030;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,200;0,033;0,431;142,200;-0,029;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,225;0,033;0,431;142,225;-0,029;0,541;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,250;0,032;0,430;142,250;-0,029;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,275;0,032;0,431;142,275;-0,028;0,538;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,300;0,031;0,432;142,300;-0,028;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,325;0,031;0,432;142,325;-0,028;0,540;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,350;0,030;0,431;142,350;-0,028;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,375;0,030;0,431;142,375;-0,028;0,538;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,400;0,030;0,433;142,400;-0,027;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,425;0,029;0,432;142,425;-0,027;0,540;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,450;0,030;0,431;142,450;-0,027;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,475;0,029;0,431;142,475;-0,027;0,538;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,500;0,029;0,433;142,500;-0,026;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,525;0,029;0,432;142,525;-0,026;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,550;0,029;0,431;142,550;-0,025;0,538;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,575;0,028;0,431;142,575;-0,025;0,537;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,600;0,028;0,433;142,600;-0,024;0,538;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,625;0,028;0,433;142,625;-0,023;0,539;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,650;0,027;0,431;142,650;-0,023;0,537;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,675;0,027;0,432;142,675;-0,022;0,536;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,700;0,026;0,433;142,700;-0,021;0,537;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,725;0,026;0,433;142,725;-0,021;0,537;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,750;0,025;0,432;142,750;-0,020;0,537;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,775;0,024;0,432;142,775;-0,019;0,535;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,800;0,024;0,434;142,800;-0,018;0,536;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,825;0,024;0,434;142,825;-0,017;0,536;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,850;0,023;0,433;142,850;-0,017;0,535;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,875;0,022;0,433;142,875;-0,016;0,533;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,900;0,022;0,435;142,900;-0,015;0,534;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,925;0,022;0,435;142,925;-0,015;0,534;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,950;0,021;0,434;142,950;-0,014;0,533;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;142,975;0,020;0,434;142,975;-0,014;0,531;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,000;0,021;0,436;143,000;-0,014;0,532;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,025;0,020;0,436;143,025;-0,013;0,533;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,050;0,020;0,435;143,050;-0,012;0,532;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,075;0,019;0,435;143,075;-0,012;0,531;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,100;0,019;0,436;143,100;-0,012;0,531;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,125;0,019;0,437;143,125;-0,011;0,532;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,150;0,018;0,436;143,150;-0,011;0,531;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,175;0,017;0,435;143,175;-0,011;0,529;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,200;0,018;0,437;143,200;-0,010;0,530;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,225;0,017;0,437;143,225;-0,010;0,531;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,250;0,017;0,436;143,250;-0,009;0,530;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,275;0,017;0,437;143,275;-0,009;0,528;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,300;0,016;0,438;143,300;-0,008;0,529;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,325;0,016;0,438;143,325;-0,008;0,529;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,350;0,016;0,437;143,350;-0,007;0,528;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,375;0,015;0,437;143,375;-0,007;0,527;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,400;0,015;0,439;143,400;-0,006;0,528;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,425;0,015;0,439;143,425;-0,006;0,528;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,450;0,014;0,438;143,450;-0,006;0,527;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,475;0,014;0,438;143,475;-0,005;0,526;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,500;0,014;0,440;143,500;-0,005;0,526;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,525;0,014;0,440;143,525;-0,004;0,527;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,550;0,013;0,439;143,550;-0,004;0,526;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,575;0,013;0,439;143,575;-0,004;0,525;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,600;0,013;0,440;143,600;-0,003;0,525;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,625;0,013;0,441;143,625;-0,003;0,526;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,650;0,012;0,439;143,650;-0,002;0,525;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,675;0,012;0,439;143,675;-0,002;0,523;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,700;0,012;0,441;143,700;-0,002;0,523;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,725;0,011;0,441;143,725;-0,002;0,524;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,750;0,011;0,440;143,750;-0,001;0,524;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,775;0,011;0,440;143,775;-0,001;0,522;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,800;0,010;0,442;143,800;-0,001;0,522;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,825;0,010;0,442;143,825;-4,547E-4;0,524;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,850;0,010;0,441;143,850;-7,037E-4;0,523;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,875;0,010;0,441;143,875;-5,133E-4;0,521;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,900;0,009;0,443;143,900;6,775E-5;0,522;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,925;0,009;0,443;143,925;-8,362E-5;0,523;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,950;0,008;0,442;143,950;-9,094E-5;0,522;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;143,975;0,008;0,442;143,975;2,869E-5;0,521;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,000;0,007;0,443;144,000;5,365E-4;0,521;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,025;0,007;0,444;144,025;2,313E-4;0,522;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,050;0,007;0,443;144,050;7,996E-5;0,521;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,075;0,007;0,443;144,075;5,194E-4;0,520;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,100;0,006;0,445;144,100;6,854E-4;0,521;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,125;0,006;0,445;144,125;6,317E-4;0,522;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,150;0,006;0,444;144,150;3,876E-4;0,521;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,175;0,005;0,444;144,175;7,782E-4;0,520;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,200;0,005;0,446;144,200;0,001;0,520;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,225;0,005;0,446;144,225;0,002;0,521;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,250;0,005;0,445;144,250;0,002;0,521;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,275;0,005;0,445;144,275;0,002;0,519;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,300;0,004;0,446;144,300;0,002;0,519;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,325;0,004;0,447;144,325;0,002;0,520;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,350;0,004;0,446;144,350;0,002;0,520;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,375;0,003;0,446;144,375;0,002;0,519;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,400;0,003;0,447;144,400;0,001;0,519;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,425;0,003;0,447;144,425;0,002;0,521;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,450;0,003;0,446;144,450;0,002;0,520;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,475;0,004;0,447;144,475;0,002;0,518;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,500;0,003;0,448;144,500;0,002;0,519;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,525;0,003;0,448;144,525;0,002;0,520;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,550;0,003;0,447;144,550;0,003;0,520;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,575;0,003;0,447;144,575;0,003;0,518;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,600;0,003;0,448;144,600;0,003;0,518;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,625;0,003;0,448;144,625;0,004;0,520;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,650;0,003;0,447;144,650;0,004;0,519;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,675;0,003;0,447;144,675;0,004;0,517;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,700;0,003;0,449;144,700;0,004;0,517;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,725;0,002;0,448;144,725;0,004;0,518;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,750;0,002;0,447;144,750;0,004;0,518;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,775;0,002;0,447;144,775;0,004;0,516;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,800;0,002;0,449;144,800;0,005;0,516;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,825;0,002;0,449;144,825;0,005;0,517;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,850;0,002;0,448;144,850;0,005;0,516;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,875;0,002;0,448;144,875;0,006;0,515;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,900;0,002;0,449;144,900;0,006;0,515;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,925;0,002;0,450;144,925;0,007;0,516;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,950;0,002;0,448;144,950;0,007;0,515;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;144,975;0,002;0,448;144,975;0,008;0,514;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,000;0,002;0,449;145,000;0,008;0,514;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,025;0,002;0,449;145,025;0,008;0,514;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,050;0,002;0,448;145,050;0,009;0,514;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,075;0,002;0,448;145,075;0,009;0,513;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,100;0,002;0,449;145,100;0,009;0,512;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,125;0,002;0,449;145,125;0,009;0,513;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,150;0,002;0,448;145,150;0,009;0,512;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,175;0,002;0,448;145,175;0,010;0,511;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,200;0,002;0,449;145,200;0,009;0,511;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,225;0,002;0,449;145,225;0,009;0,512;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,250;0,002;0,448;145,250;0,010;0,512;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,275;0,002;0,448;145,275;0,010;0,510;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,300;0,002;0,450;145,300;0,010;0,510;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,325;0,001;0,449;145,325;0,010;0,511;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,350;0,002;0,449;145,350;0,011;0,511;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,375;0,001;0,448;145,375;0,011;0,509;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,400;8,075E-4;0,450;145,400;0,011;0,509;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,425;1,923E-4;0,450;145,425;0,011;0,509;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,450;-3,815E-4;0,449;145,450;0,011;0,509;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,475;-9,332E-4;0,450;145,475;0,011;0,507;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,500;-0,001;0,452;145,500;0,013;0,507;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,525;-0,003;0,452;145,525;0,012;0,508;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,550;-0,003;0,452;145,550;0,013;0,508;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,575;-0,003;0,453;145,575;0,013;0,507;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,600;-0,004;0,455;145,600;0,013;0,506;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,625;-0,005;0,455;145,625;0,014;0,507;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,650;-0,006;0,455;145,650;0,013;0,506;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,675;-0,007;0,455;145,675;0,014;0,505;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,700;-0,007;0,457;145,700;0,015;0,505;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,725;-0,007;0,459;145,725;0,014;0,506;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,750;-0,008;0,458;145,750;0,014;0,505;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,775;-0,009;0,459;145,775;0,014;0,503;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,800;-0,009;0,460;145,800;0,015;0,503;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,825;-0,010;0,461;145,825;0,015;0,504;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,850;-0,010;0,461;145,850;0,015;0,504;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,875;-0,010;0,461;145,875;0,016;0,502;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,900;-0,011;0,463;145,900;0,016;0,502;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,925;-0,012;0,463;145,925;0,016;0,503;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,950;-0,012;0,463;145,950;0,016;0,502;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;145,975;-0,012;0,463;145,975;0,016;0,500;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;146,000;-0,013;0,465;146,000;0,017;0,500;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;146,025;-0,013;0,466;146,025;0,017;0,501;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;146,050;-0,013;0,465;146,050;0,018;0,501;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;146,075;-0,013;0,466;146,075;0,018;0,499;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;146,100;-0,013;0,468;146,100;0,018;0,498;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;146,125;-0,014;0,468;146,125;0,018;0,499;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;146,150;-0,014;0,467;146,150;0,018;0,499;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;146,175;-0,014;0,468;146,175;0,019;0,497;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;146,200;-0,015;0,469;146,200;0,019;0,496;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;146,225;-0,015;0,470;146,225;0,019;0,497;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;146,250;-0,015;0,469;146,250;0,019;0,497;;;;;;;;;
